Name,Title,aiconalt,View,State,View1,asizebase
rajasekar,Nothing great,3.0 out of 5 stars,"Reviewed in India on July 26, 2019",Verified Purchase,"Mixer grinder is powerful as it should be because of 1000w motor. The grinding is perfect doest it job in few seconds but the problem is with jar heads and closer locks.
1. If u r grinding chutney u need to open the four locks every time to add some water. The jar lid they don't have smaller opening like the one u will be able to found in similar mixer grinders
2. There are two groves inside the lid so u won't be wipe out clean without the water",19 people found this helpful
Moukthika Gunturi,For first use only blade broke,1.0 out of 5 stars,"Reviewed in India on September 3, 2019",Verified Purchase,I bought this product and tried to grind in middle size jar and the blade has broken for first use only I just used it for coconut and it broke and that to first time only . And what is the solution for it... See if it was used for years it was ok but that to from a brand like bosch it was not expected.. I bought this product with much faith on brand and I was disappointed..  Solution for the problem is expected...,20 people found this helpful
😎,Not bad,4.0 out of 5 stars,"Reviewed in India on June 20, 2020",Verified Purchase,"Ok so I hav ordered this on 13th June 2020 and got it on 19th which is fine not that bad
The product doesn't look & feel premium but it does the job thanks to its 1000w motor I haven't used it that much cuz it's only been a day since I got this
One point to note is the plastic lockers(black plastic swiveling locks on the lids of the jars) or whatever they call em don't seem to be that durable very cheap plastic is used it's also thin and not so strong. The jars are well built the metal is sturdy and so are all the plastic lids no problem there , the blender is perfectly designed it has got those vaccum feet wc I like and the colour is pretty good but like I said it ain't that premium (for the money paid) it's all plastic even the middle part(which I thought will be a piece of metal but nope ┐( ∵ )┌ it's just metallic finish it's just painted plastic) where the knob is and the knob is made of plastic too
Out of the 4 jars one needs a lot of care the one meant for juicing stuff with a mesh thing inside I wonder how it survived even this long anyway I'll be updating my review soon hope this helps
I don't think the motor will cause any problem in the future and as far as I know 2years warranty is only for motor and not for jars do confirm that wn u buy",10 people found this helpful
raheela noor,Not good juser is worst and sond is very very lod i want to return,1.0 out of 5 stars,"Reviewed in India on July 12, 2019",Verified Purchase,Not good at all i did mistake to take this mixer,24 people found this helpful
Shubham Sharma,Must buy excellent,5.0 out of 5 stars,"Reviewed in India on January 22, 2020",Verified Purchase,"Nice product by bosch
And Amazon packing and delivery was excellent

This bosch mixer was working well and no problem found by me
Why peoples write bad comment for that product
Dont confuse to read those comments buy it
This is genuine product by bosch
I highly recommend to buy",16 people found this helpful
Venkatasubramanian,Lousy plastics and poor design &workmanship of product,1.0 out of 5 stars,"Reviewed in India on November 12, 2020",Verified Purchase,"Despite an expensive product the workmanship of the product is lousy. A blackspot on Bosch brand for sure..
The plastic parts have flashes of the gates and runners are left out sharp on the plastics that easily cut the fingers of the person who scrapes the dishes and even while washing the jars.
The screw heads that secure the steel jar to its base were probably run down by a damaged tool or nutrunner, that left the dome headed screw slots damaged leaving sharp projection of screw material on top of the screw that I could not even manage to file off. I just asked everyone at home to remember it while washing and cleaning and be careful.. very very unsafe product and lousy Predespatch inspection of the product. I also see the design of the screw heads with slots projecting into the jar side can keep the jars from getting a good wash of internal side of the jar, harbour bacteria and mold. Not a healthy design..Bosch is destroying the brand name with this product design.
I definitely regret buying this low workmanship product.. I chose this over sujata grinder . A very bad decision. I hope the MD of Bosch appliances read this and improve quality of plastics and jars..and make it safe..not going to give even 1 star.",9 people found this helpful
Amazon Customer,Bosch Has No Return Policy,1.0 out of 5 stars,"Reviewed in India on June 25, 2020",Verified Purchase,"It's amazing that Amazon allows Bosch to pursue ""No Return Policy"".

Based on that we seem to be stuck with a bad build quality product with major manufacturing defects:

Firstly, blades in the grinding jars have too much of gap from jar's bottom, leading to performance issues.

Secondly, overall build quality is really poor, which is unexpected, considering the high price and coming from brand such as Bosch.

If you can help it, avoid purchasing this contraption.",10 people found this helpful
Remo,Excellent product,5.0 out of 5 stars,"Reviewed in India on September 19, 2021",Verified Purchase,"Excellent product and all round performance! If your budget permits you must have this in your kitchen.

Pros:
1. Powerful - yes, it can be felt the moment you turn it on.
2. Quick - you dont need to run it for long - almost everything which we need for our family is done within a minute
3. Quality - does the work with perfection. Be it grating, grinding, chutney or juice making - everything is done so perfectly
4. Safety - Unique lock mechanism is a savior
5. Sturdy - Base is real sturdy and grips the wooden or Marble top tightly. No vibration even or risk of falling off
6. Switch - Nicely placed, premium to touch and smooth during operation
7. Spill Management - Nice drainage system for accidental spill management saving interior parts
8. Beaty - A real beauty in the kitchen. All our neighbours seem jelous 😁

Cons:
1. Pricey - not sure if manufacturer or dealer can do anything around this given the high price of almost every raw materials and logistics
2. Atta kneader - Only missing piece for this product which forced me to try other brand as well. Bosch must think of this please! An atta kneader attachment will really place this product miles ahead of the race from any competetor in this segment.",6 people found this helpful
Raj,Defective Bosch Mixer Grinder,1.0 out of 5 stars,"Reviewed in India on June 15, 2019",Verified Purchase,Received Defective product.,21 people found this helpful
Sumit,Worst Purchase of White Good in life,1.0 out of 5 stars,"Reviewed in India on December 4, 2021",Verified Purchase,"Within the first use, we noticed that the grinder was making noise. We called a local mechanic who just saw, and said that the plastic jar is a bit molten at the bottom. We are shocked that grinder from such a well known brand had a molten base within 5 mins of use.

Annyways we complained to the helpline no, and the technician came. He is attached to some local distributor and not a Bosch employee. He said that he would get back, and has since then stopped taking the calls.

We then again called the helpline no. in Chennai. The call centre staff began to play games like they can't hear, pls talk only in English while we could hear giggling of their mates in the background. Such harassment to a 75 yr old senior citizen who brought this a Diwali gift for herself.

We have used many many local brands like Sujatha, Sumeet etc in the past, and they lasted over a decade till we got bored, and got more recent models.

Not only the product is substandard, the quality of aftersales in pathetic bodering on humiliating.",4 people found this helpful
