Ticker,Short Name,ESG Disc Score:Y,Market Cap,Revenue T12M,P/E,Env Disc Sc:Y,Soc Disc Sc:Y,Gov Disc Sc:Y,Sust Gr Rt LF,Cntry of Dom,GICS SubInd,GICS SubInd Name,GICS Sector,Sustainalytics Soc Pctl:D-1,Sustainalytics Environ Pctl:D-1,Debt/Cap LF,% Women on Bd:Y,CEO Duality:Y,DPS LF,EBITA T12M,Total Return:D-1,NI / Profit T12M,LT Brrwng LF,ST Brrwng LF,Total Return YTD,# of Dir on Bd:D-1,Bd Avg Age:Y,Bd Age Limit:Y,% Indep Directors:Y,CEO Duality:Y,% of Non Exec Dir on Bd:D-1,GHG Scope 1:Y,GHG Scope 2:Y,Wtr Intens/Engy Cons:Y,Haz Waste:Y,Total Waste:Y,Tot Wtr Dschgd:Y,% Emp Union:Y,Tot Sal Pd to Execs:Y,Tot Sal & Bns Pd to Execs:Y
BWP US Equity,BOARDWALK PIPELI,11.98349953,3231331328,1337700000,9.867752241,,19.29820061,32.14289856,4.049351215,US,10102040,Oil & Gas Storage & Transportation,Energy,,,43.44249344,0,0,0.100000001,,-1.974185477,301000000,3585700096,0,-23.80954632,8,69,,50,0,87.5,,,,,,,8.590000153,1953642,6854642
CAPL US Equity,CROSSAMERICA PAR,,807143040,2043639040,131.7534033,,,,-0.711991012,US,10102040,Oil & Gas Storage & Transportation,Energy,,,72.99946594,,,0.622500002,,0.210967238,4358000,454772992,2884000,3.770002983,,,,,,,,,,,,,,,
CCR US Equity,CONSOL COAL RESO,,427482048,327205000,11.69966584,,,,-142.9378357,US,10102050,Coal & Consumable Fuels,Energy,,,46.18857193,,,0.512499988,,2.287577931,40881000,185606000,0,-2.430420003,,,,,,,,,,,,,,,
CEIX US Equity,CONSOL ENERGY IN,,1104996224,,,,,,,US,10102050,Coal & Consumable Fuels,Energy,,,27.5165863,,,,,1.048593001,,299028992,3520000,,,,,,,,,,,,,,,,
CEQP US Equity,CRESTWOOD EQUITY,,1813509632,3429000000,,,,,,US,10102040,Oil & Gas Storage & Transportation,Energy,,,40.47851563,,,0.600000024,,0.38909911,-136300000,1615399936,2000000,10.89532284,,,,,,,,,,,,,,2337775,2552775
CHK US Equity,CHESAPEAKE ENERG,36.92950058,3598395904,8966000128,79.626801,19.83469963,53.125,55.35710144,,US,10102020,Oil & Gas Exploration & Production,Energy,42.8571434,50,107.6563339,14.28569984,0,0,,-1.98019615,273000000,9898999808,0,-43.58974289,8,62.28570175,,85.71430206,0,87.5,,,,,,,,3825000,3825000
CHKR US Equity,CHESAPEAKE GRANI,,86487504,15635000,5.999831388,,,,-14.30722904,US,10102020,Oil & Gas Exploration & Production,Energy,,,0,,,0.100299999,,2.777781825,13244000,0,0,-9.679674703,,,,,,,,,,,,,,,
CJ US Equity,C&J ENERGY SERVI,,2293376512,,,,,,,US,10101020,Oil & Gas Equipment & Services,Energy,,,0,,,0,,-0.947024818,,0,0,,12,,,,,91.66999817,,,,,,,,,
CKH US Equity,SEACOR HOLDINGS,16.11569977,825458432,677445016,,1.550400019,14.03509998,51.78570175,-12.1948967,US,10101020,Oil & Gas Equipment & Services,Energy,,,47.86719894,0,1,0,,-1.28150038,-104913000,518112000,119840000,3.830244953,5,66.5714035,,71.4285965,1,80,,,,,,,,2295000,2910000
CLB US Equity,CORE LABS NV,31.40500069,4836343808,637499024,60.59838553,17.05430031,38.5965004,57.14289856,-7.583024979,NL,10101020,Oil & Gas Equipment & Services,Energy,80,60,60.40484238,37.5,1,0.550000012,102497000,0.921234428,76893000,233864000,0,-6.82452469,8,65,,75,1,75,,,,,,,0,1968194,1968194
